company_name,company_num,address
POOLE WELL-BEING COLLABORATIVE LIMITED,08462152,"
Floor 3 Beech House, 28 - 30 Wimborne Road, Poole, Dorset, BH15 2BU            "
,,
ST FRANCIS OF ASSISI ACADEMIES TRUST,08462151,"
St Thomas More Catholic Teaching School, Tyne Crescent, Bedford, MK41 7UL            "
,,
,,
NEPALESE ASSOCIATION,08462150,"
58 Bower Street, Carlisle, Cumbria, CA2 7DF            "
,,
,,
,,
SWINNERTON TRUST LIMITED,08462149,"
1 The Courtyard Goldsmith Way, Eliot Business Park, Nuneaton, Warwickshire, United Kingdom, CV10 7RJ            "
,,
,,
,,
THE FAMILY DEVELOPMENT PROJECT,08462147,"
15 Mather Road, Sheffield, England, S9 4GN            "
DATAKIND (UK) LIMITED,08462148,"
10 Portfleet Place De Beauvoir Road, London, N1 5SZ            "
,,
,,
,,
28 WESTERN ROAD LEWES LIMITED,08462146,"
Sussex Estate Management Ltd, 4 St. Lawrence Lane, Worthing, West Sussex, BN14 7JH            "
RH ARBITRATION LIMITED,08462145,"
New Derwent House, 69-73 Theobalds Road, London, WC1X 8TA            "
SCOMAR FACADES LIMITED,08462143,"
Unit 29 Northampton Road, Blisworth, Northampton, England, NN7 3DW            "
THE CHICKENLEY COMMUNITY CO-OPERATIVE LEARNING TRUST,08462144,"
Eric Firth, Chickenley Community Centre, Princess Road, Dewsbury, West Yorkshire, England, WF12 8QT            "
,,
CODEPHRONESIS LTD,08462142,"
20 Wenlock Road, London, England, N1 7GU            "
,,
CORPORATE RESILIENCE QUALITY MANAGEMENT SYSTEM LTD,08462141,"
Aviation House Se2, Gloucestershire Airport, Cheltenham, GL51 6SP            "
,,
T & F W LTD,08462124,"
10 Brockhall Road, Flore, Northampton, NN7 4NG            "
HAIRNATION LIMITED,08462123,"
12 Stockwell Head, Hinckley, LE10 1RE            "
EGO (POOLE) LIMITED,08462122,"
864 Christchurch Road, Bournemouth, England, BH7 6DQ            "
,,
REDHILL A S LTD,08462121,"
23a Worthington Crescent, Poole, Dorset, BH14 8BW            "
STICKY SOLUTIONS LIMITED,08462120,"
Unit 4 Vista Place, Coy Pond Business Prk Ingworth Road, Poole, Dorset, BH12 1JY            "
,,
ADVERA LIMITED,08462119,"
1 Potter Close, Abbey Wood, London, England, SE2 0BA            "
,,
C HOWELLS LTD,08462118,"
6 Smithy Lane, Little Acton, Wreham, LL12 8AR            "
,,
,,
,,
,,
I AM THE SANDMAN LIMITED,08462117,"
8 Carrack Dhu, St. Ives, Cornwall, TR26 1DS            "
,,
TAVISTOCK PET EMPORIUM LIMITED,08462115,"
1-2 Bank Square Market Street, Tavistock, England, PL19 0DE            "
ABC OF TASTE LTD,08462116,"
23 Haymarket, London, SW1Y 4DG            "
,,
,,
,,
,,
,,
,,
CONTINENTAL WORLD LIMITED,08462114,"
28 Alexandra Terrace, Exmouth, Devon, EX8 1BD            "
,,
OCEAN SUCCESS LTD,08462113,"
41 Oxford Street, Leamington Spa, Warwickshire, England, CV32 4RB            "
TK SOFTWARE SOLUTIONS LIMITED,08462112,"
9 Flamingo Close, Hatfield, Hertfordshire, England, AL10 9LU            "
CHEZ CHEZ EVENTS (PARTY HARD THE RIGHT WAY) LTD,08462111,"
33 Meadway, Esher, England, KT10 9HG            "
,,
,,
,,
,,
,,
,,
,,
,,
